N^2,N,Rand_GFlops,Rand_Top1,Spat_GFlops,Spat_Top1,All_GFlops,All_Top1,Conv_Top1,Conv_GFlops
16,4,0.29731994,75.5275,0.2973202,69.377,0.33130096,75.4976,69.9244,0.2936832
64,8,0.30476416,75.4777,0.30790055,71.885,0.33130096,75.4976,69.9244,0.2936832
144,12,0.311904,74.8706,0.32553447,71.2381,0.33130096,75.4976,69.9244,0.2936832
256,16,0.31798874,75.209,0.35022196,70.9693,0.33130096,75.4976,69.9244,0.2936832
400,20,0.3225616,75.4976,0.38196301,70.1931,0.33130096,75.4976,69.9244,0.2936832
576,24,0.32459616,74.9204,0.42075764,70.0239,0.33130096,75.4976,69.9244,0.2936832
784,28,0.32700064,75.1891,0.46660583,69.9244,0.33130096,75.4976,69.9244,0.2936832
