N^2,N,Rand_GFlops,Rand_Top1,Spat_GFlops,Spat_Top1,All_GFlops,All_Top1,Conv_Top1,Conv_GFlops
16,4,0.29731994,74.3531,0.29732013,69.158,0.33130096,75.4976,69.9244,0.2936832
64,8,0.30476416,75.3284,0.30476468,72.8105,0.33130096,75.4976,69.9244,0.2936832
144,12,0.311904,75.7564,0.31190458,73.9451,0.33130096,75.4976,69.9244,0.2936832
256,16,0.31798874,75.0597,0.31798976,74.3929,0.33130096,75.4976,69.9244,0.2936832
400,20,0.3225616,75.9554,0.3225624,74.5123,0.33130096,75.4976,69.9244,0.2936832
576,24,0.32459616,75.5374,0.32459732,74.7711,0.33130096,75.4976,69.9244,0.2936832
784,28,0.32700064,75.1592,0.32700221,74.3332,0.33130096,75.4976,69.9244,0.2936832
